id,weight
89199915,2.399252183993702E-6
89199916,4.436341128315772E-5
89199913,8.830697039307065E-6
43358364,3.633893317175377E-4
48524023,8.286634056051708E-4
697792159,2.2437840996588828E-5
103216285,3.137230028485631E-5
23942716,5.552305161743903E-5
103216327,1.0563517259861864E-4
224088823,6.0962688095013236E-5
23942748,2.6606260746812774E-4
174196427,1.1419925926285956E-4
122792683,6.843469811043765E-4
95206453,8.863923137588104E-4
185086957,4.0169586490950256E-4
185086945,1.7834798015163353E-4
95599007,2.461035641165367E-4
122792679,0.0010808203230318275
719556443,8.640684740959096E-4
405541827,2.945240871087048E-4
98587763,9.910576772302186E-4
678493988,0.0013021018292423798
43722647,1.8440023012043188E-5
185086955,1.3545575668272178E-4
23942749,2.9177391231111175E-4
95599008,1.2905686920658616E-4
19831003,1.0203944577419888E-4
95599004,4.944072989897058E-4
95599000,1.284459682277896E-4
4816798,7.195891658775495E-4
122792678,2.483920892646047E-4
122792680,2.448988321821026E-4
95599002,4.1981765385747994E-4
95599010,4.168997760582733E-4
92171760,6.982643028319987E-4
95599001,1.6063427594936576E-4
19830994,0.001224261194897648
48515983,2.755353583347433E-4
23942740,4.764330912266808E-4
48516002,6.078272872364981E-4
23942741,3.0321328636926596E-4
102469062,7.695742508530936E-4
69048863,4.1598316861899575E-4
45879140,4.187544053666913E-4
185086956,3.2477765635007764E-4
4816799,3.8364619849734776E-4
69048866,4.292595880339241E-4
69048864,4.7935452778070437E-4
138656701,5.661437771341123E-4
185086947,5.961285994738758E-4
23126270,9.979955597325E-4
715660658,2.928424982961814E-4
154937111,8.801413154830836E-4
185086948,6.117918967686629E-4
185086944,4.0856186817260303E-4
4899446,3.019394035108386E-4
19831072,5.423866496564536E-4
48515980,0.0011108150533939046
19831086,0.001153022678138776
48515975,8.950835917602898E-4
105646891,1.9043475198196464E-4
48513993,6.179750797883208E-4
29550134,2.9901988272290554E-4
610801757,6.04620639371296E-4
105646952,2.972821238061614E-4
105646938,1.6607148511994888E-4
593433500,3.903757139660112E-4
261925008,6.129939424162052E-4
45569121,6.359485300483136E-4
221258469,2.707734891189833E-4
48514274,5.396030544859884E-4
48515955,5.05845856576216E-4
19831285,2.227534488540941E-4
329055295,1.0184093687085619E-4
